"participant_id","consensus_cluster","agreement","imp_1","imp_2","imp_3","imp_4","imp_5","imp_6","imp_7","imp_8","imp_9","imp_10","imp_11","imp_12","imp_13","imp_14","imp_15","imp_16","imp_17","imp_18","imp_19","imp_20"
154,1,0.3,1,9,9,4,7,1,1,8,3,9,2,8,10,9,1,9,5,1,2,1
155,1,0.3,1,9,9,4,7,1,1,8,3,9,2,8,10,9,1,9,5,1,2,1
156,7,0.2,2,5,10,6,6,3,3,10,7,10,1,9,9,8,5,7,7,6,8,7
157,2,0.2,5,2,2,1,9,5,9,6,8,3,7,6,5,2,7,10,2,9,9,10
158,1,0.3,1,9,9,4,7,1,1,8,3,9,2,8,10,9,1,9,5,1,2,1
159,3,0.2,10,3,3,9,8,4,6,2,5,2,3,5,4,1,3,4,1,5,6,2
160,8,0.2,7,10,8,3,1,8,10,5,4,6,9,1,1,3,4,8,6,2,7,8
161,1,0.3,1,9,9,4,7,1,1,8,3,9,2,8,10,9,1,9,5,1,2,1
162,4,0.25,9,4,6,7,3,7,8,4,9,1,4,4,3,4,2,1,8,3,3,5
163,2,0.2,5,2,2,1,9,5,9,6,8,3,7,6,5,2,7,10,2,9,9,10
164,7,0.25,2,5,10,6,6,3,3,10,7,10,1,9,7,8,5,7,7,10,8,7
165,3,0.2,10,3,3,9,8,4,6,2,5,2,3,5,4,1,3,4,1,5,6,2
166,4,0.2,9,4,6,7,3,7,8,4,9,1,4,4,3,2,2,1,8,3,3,5
